L 07/09/2020 - 18:03:21: "Bot35<38><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot35<38><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot36<39><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot36<39><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot37<40><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot37<40><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot38<41><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot38<41><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot39<42><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot39<42><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot40<43><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot40<43><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot41<44><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot41<44><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot42<45><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot42<45><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot43<46><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot43<46><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot44<47><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot44<47><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot45<48><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot45<48><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot46<49><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot46<49><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot47<50><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot47<50><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot48<51><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot48<51><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot49<52><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot49<52><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot50<53><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot50<53><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot51<54><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot51<54><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot52<55><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot52<55><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot53<56><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot53<56><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot54<57><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot54<57><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot55<58><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot55<58><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot56<59><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot56<59><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot57<60><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot57<60><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot58<61><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot58<61><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot59<62><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot59<62><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot60<63><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot60<63><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot61<64><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot61<64><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot62<65><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot62<65><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot63<66><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot63<66><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot64<67><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot64<67><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot65<68><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot65<68><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot66<69><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot66<69><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot67<70><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot67<70><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot68<71><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot68<71><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot69<72><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot69<72><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot70<73><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot70<73><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot71<74><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot71<74><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot72<75><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot72<75><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot73<76><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot73<76><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot74<77><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot74<77><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot75<78><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot75<78><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot76<79><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot76<79><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot77<80><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot77<80><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot78<81><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot78<81><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot79<82><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot79<82><BOT><>" entered the game
L 07/09/2020 - 18:03:55: "Bot80<83><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:55: "Bot80<83><BOT><>" entered the game
L 07/09/2020 - 18:10:09: "Bot01<4><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot02<5><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot03<6><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot04<7><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot05<8><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot06<9><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot07<10><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot08<11><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot09<12><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot10<13><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot11<14><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot12<15><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot13<16><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot14<17><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot15<18><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot16<19><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot17<20><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot18<21><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot19<22><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot20<23><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot21<24><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot22<25><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot23<26><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot24<27><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot25<28><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot26<29><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot27<30><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot28<31><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot29<32><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot30<33><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot31<34><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot32<35><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot33<36><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot34<37><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot35<38><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot36<39><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot37<40><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot38<41><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot39<42><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot40<43><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot41<44><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot42<45><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot43<46><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot44<47><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot45<48><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot46<49><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot47<50><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot48<51><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot49<52><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot50<53><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot51<54><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot52<55><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot53<56><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot54<57><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot55<58><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot56<59><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot57<60><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot58<61><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot59<62><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot60<63><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot61<64><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot62<65><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot63<66><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot64<67><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot65<68><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot66<69><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot67<70><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot68<71><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot69<72><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot70<73><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot71<74><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot72<75><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot73<76><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot74<77><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot75<78><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot76<79><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot77<80><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot78<81><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot79<82><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:10:09: "Bot80<83><BOT><>" disconnected (reason "No reason given")
L 07/09/2020 - 18:12:20: "Bot81<84><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot81<84><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot82<85><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot82<85><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot83<86><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot83<86><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot84<87><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot84<87><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot85<88><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot85<88><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot86<89><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot86<89><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot87<90><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot87<90><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot88<91><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot88<91><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot89<92><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot89<92><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot90<93><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot90<93><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot91<94><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot91<94><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot92<95><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot92<95><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot93<96><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot93<96><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot94<97><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot94<97><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot95<98><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot95<98><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot96<99><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot96<99><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot97<100><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot97<100><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot98<101><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot98<101><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot99<102><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot99<102><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot100<103><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot100<103><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot101<104><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot101<104><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot102<105><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot102<105><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot103<106><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot103<106><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot104<107><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot104<107><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot105<108><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot105<108><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot106<109><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot106<109><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot107<110><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot107<110><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot108<111><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot108<111><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot109<112><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot109<112><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot110<113><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot110<113><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot111<114><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot111<114><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot112<115><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot112<115><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot113<116><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot113<116><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot114<117><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot114<117><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot115<118><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot115<118><BOT><>" entered the game
