L 05/22/2020 - 00:20:37: "Bot38<40><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:37: "Bot38<40><BOT><>" entered the game
L 05/22/2020 - 00:20:37: "Bot39<41><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:37: "Bot39<41><BOT><>" entered the game
L 05/22/2020 - 00:20:37: "Bot40<42><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:37: "Bot40<42><BOT><>" entered the game
L 05/22/2020 - 00:20:37: "Bot41<43><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:37: "Bot41<43><BOT><>" entered the game
L 05/22/2020 - 00:20:37: "Bot42<44><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:37: "Bot42<44><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot43<45><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot43<45><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot44<46><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot44<46><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot45<47><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot45<47><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot46<48><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot46<48><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot47<49><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot47<49><BOT><>" entered the game
L 05/22/2020 - 00:20:38: "Bot48<50><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:38: "Bot48<50><BOT><>" entered the game
L 05/22/2020 - 00:20:39: "Bot49<51><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:39: "Bot49<51><BOT><>" entered the game
L 05/22/2020 - 00:20:39: "Bot50<52><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:39: "Bot50<52><BOT><>" entered the game
L 05/22/2020 - 00:20:39: "Bot51<53><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:39: "Bot51<53><BOT><>" entered the game
L 05/22/2020 - 00:20:39: "Bot52<54><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:39: "Bot52<54><BOT><>" entered the game
L 05/22/2020 - 00:20:39: "Bot53<55><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:39: "Bot53<55><BOT><>" entered the game
L 05/22/2020 - 00:20:40: "Bot54<56><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot54<56><BOT><>" entered the game
L 05/22/2020 - 00:20:40: "Bot55<57><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot55<57><BOT><>" entered the game
L 05/22/2020 - 00:20:40: "Bot56<58><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot56<58><BOT><>" entered the game
L 05/22/2020 - 00:20:40: "Bot57<59><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot57<59><BOT><>" entered the game
L 05/22/2020 - 00:20:40: "Bot58<60><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot58<60><BOT><>" entered the game
