L 07/09/2020 - 17:36:54: Log file started (file "logs\L0709020.log") (game "D:\sup\steamapps\common\GarrysModDS\garrysmod") (version "7836")
L 07/09/2020 - 17:36:54: server_cvar: "sv_alltalk" "3"
L 07/09/2020 - 17:36:54: server_cvar: "sv_airaccelerate" "100"
L 07/09/2020 - 17:36:55: Connection to Steam servers successful.
L 07/09/2020 - 17:36:55:    Public IP is 31.130.42.26.
L 07/09/2020 - 17:36:55: Assigned anonymous gameserver Steam ID [A-1:1985164288(15119)].
L 07/09/2020 - 17:36:55: VAC secure mode is activated.
L 07/09/2020 - 17:36:57: "COMPLΞX<2><STEAM_0:0:105635721><>" connected, address "26.162.207.202:27006"
L 07/09/2020 - 17:36:57: "COMPLΞX<2><STEAM_0:0:105635721><>" STEAM USERID validated
L 07/09/2020 - 17:37:11: "COMPLΞX<2><STEAM_0:0:105635721><>" entered the game
L 07/09/2020 - 17:37:21: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" connected, address "212.66.63.39:27006"
L 07/09/2020 - 17:37:21: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" STEAM USERID validated
L 07/09/2020 - 17:38:42: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" entered the game
L 07/09/2020 - 17:39:32: "Bot01<4><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot01<4><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot02<5><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot02<5><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot03<6><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot03<6><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot04<7><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot04<7><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot05<8><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot05<8><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot06<9><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot06<9><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot07<10><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot07<10><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot08<11><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot08<11><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot09<12><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot09<12><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot10<13><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot10<13><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot11<14><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot11<14><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot12<15><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot12<15><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot13<16><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot13<16><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot14<17><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot14<17><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot15<18><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot15<18><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot16<19><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot16<19><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot17<20><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot17<20><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot18<21><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot18<21><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot19<22><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot19<22><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot20<23><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot20<23><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot21<24><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot21<24><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot22<25><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot22<25><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot23<26><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot23<26><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot24<27><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot24<27><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot25<28><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot25<28><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot26<29><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot26<29><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot27<30><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot27<30><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot28<31><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot28<31><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot29<32><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot29<32><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot30<33><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot30<33><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot31<34><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot31<34><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot32<35><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot32<35><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot33<36><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot33<36><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot34<37><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot34<37><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot35<38><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot35<38><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot36<39><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot36<39><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot37<40><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot37<40><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot38<41><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot38<41><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot39<42><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot39<42><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot40<43><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot40<43><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot41<44><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot41<44><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot42<45><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot42<45><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot43<46><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot43<46><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot44<47><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot44<47><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot45<48><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot45<48><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot46<49><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot46<49><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot47<50><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot47<50><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot48<51><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot48<51><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot49<52><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot49<52><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot50<53><BOT><>" connected, address "none"
L 07/09/2020 - 17:39:32: "Bot50<53><BOT><>" entered the game
L 07/09/2020 - 17:39:32: "Bot51<54><BOT><>" connected, address "none"
